Question,Option A,Option B,Option C,Correct Answer
Ich verstehe ___ Unmut und entschuldige mich für die entstandenen Unannehmlichkeiten.,deinen,euren,Ihren,C
Das Konzert hat mich wirklich beeindruckt und war ein ___ Highlight.,absoluten,absoluter,absolutes,C
What is the correct article for the word 'Stadt' (city)?,der,die,das,B
What is the correct article for the word 'Haus' (house)?,der,die,das,C
Laut ___ Grafik hat die Zahl der Sporttreibenden in den letzten Jahren zugenommen.,die,der,das,B
Die Rechnung konnten wir ___ Zahlungseingang zuordnen; bitte um Klärung.,keinem,ein,dem,A
"Ich esse gerne frische Zutaten und achte dar___, dass mein Essen ausgewogen ist.",auf,an,in,A
What is the correct article for the word 'Sonne' (sun)?,der,die,das,B
"Meiner Meinung nach sollten wir mehr Pausen ___ , um produktiv zu bleiben.",macht,gemacht,machen,C
Wie lange darf ich Ihnen ___ der Auswahl zur Seite stehen?,bei,an,in,A
