Question,Option A,Option B,Option C,Correct Answer
Die Dozentin war engagiert und hat ___ Inhalte gut erklärt.,die,das,den,A
"Wenn ich gestresst bin, esse ich oft Süßigkeiten, ___ ich aber gerne ändern würde.",warum,was,wie,B
Insgesamt hat ___ das Training gut gefallen und ich würde es weiterempfehlen.,ich,mir,mich,B
"Beim Verhandeln ___ es wichtig, sachlich zu bleiben und ruhig zu kommunizieren.",ist,sei,war,A
"An ___ Stelle steht das Thema Bewegung, gefolgt von gesunder Ernährung.",erster,ersten,erste,A
"Ich denke, ___ es wichtig ist, eine Balance zwischen Arbeit und Freizeit zu finden.",dass,da,und,A
"Leider gibt es ___ Problem mit der Verbindung, und ich kann keine E-Mails senden.",einen,eine,ein,C
"Zuerst bereite ich alle Materialien ___, bevor ich mit der Arbeit beginne.",nach,vor,aus,B
"Einerseits ist eine gesunde Ernährung wichtig, andererseits soll man ___ Leben auch genießen.",dem,den,das,C
"Viele meinen, dass Sport allein reicht, aber ich denke, auch Ernährung spielt ___ große Rolle.",eine,einem,einen,A
