Question,Option A,Option B,Option C,Correct Answer
"___ Krankenhäusern kann man viel lernen, weil man mit erfahrenen Fachkräften arbeitet.",Bei,In,An,B
"Ich denke, dass es wichtig ___ eine Balance zwischen Arbeit und Freizeit zu finden.",weil,sind,ist,C
What is the correct article for the word 'Lampe' (lamp)?,der,die,das,B
"Einerseits ist ___ gesunde Ernährung wichtig, andererseits soll man das Leben auch genießen.",einem,eine,ein,B
"Während ___ Ausbildung habe ich viel praktische Erfahrung gesammelt, die mir heute nützlich ist.",meiner,meine,meinem,A
"Ich versuche, weniger Zucker zu essen, weil ich merke, ___ ich mich dadurch fitter fühle.",um,dass,und,B
"Einerseits ___ eine gesunde Ernährung wichtig, andererseits soll man das Leben auch genießen.",sind,ist,gibt,B
"Vielleicht solltest du ___ verschiedene Optionen vergleichen, bevor du entscheidest.",mal,noch,dich,A
"Ich rate dir, ___ dem Kauf mehr Informationen einzuholen.",vor,bei,nach,A
"___ es etwas chaotisch war, hatte die Veranstaltung einen sehr positiven Eindruck hinterlassen.",weil,Trotzdem,Obwohl,C
