Question,Option A,Option B,Option C,Correct Answer
"Ich werde alles tun, ___ sicherzustellen, dass Sie mit der Lösung zufrieden sind.",um,zu,beim,A
"Ich sehe das anders, weil ich finde, dass mentale Gesundheit genauso wichtig ist ___ körperliche.",wie,weil,wie,C
What is the correct article for the word 'Spiegel' (mirror)?,der,die,das,A
"Im Gesundheitswesen arbeiten wir in Schichten, ___ Patienten rund um die Uhr zu versorgen.",um,zu,an,A
"Wer Berufserfahrung ___, kann sich auf bestimmte Bereiche wie Intensivpflege spezialisieren.",haben,hätte,hat,C
"Er denkt, ___ soziale Kontakte zur Gesundheit beitragen, weil sie das Wohlbefinden stärken.",und,um,dass,C
What is the correct article for the word 'Wasser' (water)?,der,die,das,C
"Die Ware ist immer noch nicht bei uns ___ getroffen, obwohl der Liefertermin bereits überschritten wurde.",ein,auf,an,A
Kann sich jemand ___ Problem anschauen? Ich komme alleine nicht weiter.,die,der,das,C
"Für mich ist es wichtig, dass meine Wohnung hell ist und viel Tageslicht ___.",hat,haben,hatten,A
