Question,Option A,Option B,Option C,Correct Answer
Ich war begeistert von ___ Atmosphäre und den vielen inspirierenden Vorträgen.,dem,den,der,C
What is the correct article for the word 'Toilette' (toilet)?,der,die,das,B
"Ich war tief gerührt, wie viel Unterstützung ich in dieser schwierigen Zeit erfahren ___.",hat,habe,nicht,B
Die Qualität ___ leider nicht den Erwartungen; einige Produkte sind beschädigt.,entspricht,entsprechen,entsprach,A
___ Seminar war sehr abwechslungsreich und ich konnte viel Neues lernen.,Ein,Das,Der,B
Der Drucker ___ nicht richtig und zeigt ständig Fehlermeldungen an.,funktioniert,funktionieren,gefunktioniert,A
"Ich sehe das anders, ___ ich finde, dass mentale Gesundheit genauso wichtig ist wie körperliche.",und,um,weil,C
Wann können Sie liefern? Wir benötigen die Ware bis ___ Woche.,nächste,nächstes,nächsten,A
Gibt es ___ diesen Kurs eine Teilnahmebestätigung oder ein Zertifikat?,für,bei,an,A
What is the correct article for the word 'Blume' (flower)?,der,die,das,B
