Question,Option A,Option B,Option C,Correct Answer
"Ich hätte nie gedacht, dass das Event so spannend und informativ sein ___.",würde,ist,war,A
"Das Wichtigste ___, dem Kunden gut zuzuhören und Verständnis zu zeigen.",ist,sei,wäre,A
"___ Software reagiert sehr langsam, was meine Arbeit erschwert.",Die,der,das,A
"Wir bitten Sie dar___, regelmäßig Updates über den Stand der Dinge zu geben.",an,über,um,C
"Durch die Globalisierung haben wir Zugang ___ Produkten aus aller Welt, was ich sehr schätze.",zu,an,auf,A
Laut ___ Grafik hat die Zahl der Sporttreibenden in den letzten Jahren zugenommen.,die,der,das,B
"Heute lerne ich häufig online, weil ich ___ flexibel mit meiner Arbeit kombinieren kann.",den,die,das,A
Ich war ___ von der Atmosphäre und den vielen inspirierenden Vorträgen.,angeistert,geistert,begeistert,C
"Einerseits ist ___ gesunde Ernährung wichtig, andererseits soll man das Leben auch genießen.",einem,eine,ein,B
"Mein Traum ist es, eines Tages ein eigenes Haus ___ Garten zu haben.",und,mit,nicht,B
