Question,Option A,Option B,Option C,Correct Answer
Ich war ___ von der Atmosphäre und den vielen inspirierenden Vorträgen.,angeistert,geistert,begeistert,C
"Das Erlebnis hat mir ___, wie wichtig es ist, immer an sich selbst zu glauben.",gezeigt,gezeigen,zeigen,A
"Vielleicht ___ es ratsam, zuerst eine Testphase zu machen.",wird,war,wäre,C
"Mein Lieblingsessen ist Pasta, ___ ich damit viele verschiedene Gerichte zubereiten kann.",und,da,weil,C
"Wenn ich ___ wäre, würde ich noch eine zweite Meinung einholen.",du,dir,dich,A
What is the correct article for the word 'Hund' (dog)?,der,die,das,A
"Die Vernetzung weltweit ermöglicht uns, schnell Informationen ___",auszutauschen.,austauschen.,zuaustauschen.,A
"___ ich die Nachricht erhielt, war ich zuerst sprachlos und konnte es kaum glauben.",Als,was,wie,A
"Zum Frühstück esse ich oft Haferflocken mit Obst, weil es mich ___ satt hält.",lange,lang,langen,A
"Ich würde es bevorzugen, ___ die Gruppen kleiner wären.",wenn,ob,dass,A
