Question,Option A,Option B,Option C,Correct Answer
"Ich denke, dass es wichtig ___ eine Balance zwischen Arbeit und Freizeit zu finden.",weil,sind,ist,C
"Eine Wohngemeinschaft könnte ich ___ vorstellen, um die Kosten zu teilen.",mir,mich,über,A
Meiner Meinung ___ hat die Globalisierung sowohl positive als auch negative Aspekte.,nach,ist,vor,A
"___ Lieblingsessen ist Pasta, weil ich damit viele verschiedene Gerichte zubereiten kann.",Mein,Meine,Meiner,A
Als Lösung können wir Ihnen ___ Preisnachlass oder Umtausch anbieten.,einen,ein,die,A
"Für mich ___ es wichtig, sowohl körperlich als auch geistig fit zu sein.",alles,ist,wiel,B
"Normalerweise esse ich zweimal täglich warm, weil ich das ___ gesünder halte.",um,an,für,C
___ Ende dokumentiere ich die Ergebnisse und bespreche Verbesserungsmöglichkeiten.,Wenn,Nach,Am,C
"Geben Sie mir bitte Ihre Gewerbenummer, da___ ich die Bestellung aufnehmen kann.",mit,für,damit,C
Wir möchten ___ Bestellung über 50 Einheiten aufgeben.,eine,die,einen,A
