Question,Option A,Option B,Option C,Correct Answer
"Leider können wir ___ Produkt derzeit nicht liefern, da es ausverkauft ist.",dieses,der,dem,A
"Können Sie mir sagen, wie lange die Warteliste ___ diesen Kurs ist?",für,an,bei,A
Das Konzert hat mich wirklich beeindruckt und war ein ___ Highlight.,absoluten,absoluter,absolutes,C
"Ich versuche, weniger Zucker ___ essen, weil ich merke, dass ich mich dadurch fitter fühle.",um,an,zu,C
"Einerseits ___ eine gesunde Ernährung wichtig, andererseits soll man das Leben auch genießen.",sind,ist,gibt,B
What is the correct article for the word 'Auto' (car)?,der,die,das,C
"___ Wetter heute, oder? Perfekt, um einen Spaziergang zu machen.",Schönen,Schöne,Schönes,C
"___ es etwas chaotisch war, hatte die Veranstaltung einen sehr positiven Eindruck hinterlassen.",weil,Trotzdem,Obwohl,C
"___ Lieblingsessen ist Pasta, weil ich damit viele verschiedene Gerichte zubereiten kann.",Mein,Meine,Meiner,A
"Wenn Sie zusätzliche Informationen benötigen, lassen Sie es ___ gerne wissen.",uns,mir,mich,C
