Question,Option A,Option B,Option C,Correct Answer
"Der Moment, ___ ich mein Diplom erhielt, war einer der schönsten meines Lebens.",lang,als,wie,B
What is the correct article for the word 'Kind' (child)?,der,die,das,C
"Ich bevorzuge ___ kleine, aber gemütliche Wohnung, weil sie leichter zu pflegen ist.",einer,eine,einem,B
"In der Schule war ich ___ gut in Mathe, aber Sprachen fielen mir oft schwer.",viel,besonder,besonders,C
"___ ich die Nachricht erhielt, war ich zuerst sprachlos und konnte es kaum glauben.",Als,was,wie,A
Die Ausbildung ___ Pflegekraft dauert drei Jahre und ist praxisorientiert.,zur,in,an,A
"Ich war unglaublich stolz ___ mich, als ich diese schwierige Prüfung bestanden habe.",auf,für,an,A
"Wir erwarten, dass Sie uns zeitnah ___ Entschuldigung und Lösung anbieten.",einen,eine,die,B
"Wenn möglich, sollten wir ___ Materialien vor dem Kurs erhalten.",die,den,das,A
"Es ist wichtig, fair und respektvoll ___ verhandeln, um eine langfristige Zusammenarbeit zu fördern.",an,zu,bei,B
