Question,Option A,Option B,Option C,Correct Answer
What is the correct article for the word 'Stuhl' (chair)?,der,die,das,A
"___ Ablauf hilft mir, effizienter zu arbeiten und Fehler zu vermeiden.",Diesen,Diese,Dieser,C
"Der Moment, ___ ich mein Diplom erhielt, war einer der schönsten meines Lebens.",lang,als,wie,B
Nach dreimaliger Mahnung haben wir leider noch keine Antwort ___.,erhalten,bekommen,gesehen,A
"Globalisierung schafft Arbeitsplätze, aber oft ___ schwierigen Bedingungen in anderen Ländern.",unter,auf,im,A
Der Kurs war gut organisiert und hat ___ Erwartungen übertroffen.,meinen,meine,meinem,B
"Welche Anweisungen soll ich ___ Kunden geben, um ihn zufriedenzustellen?",den,der,dem,C
What is the correct article for the word 'Computer' (computer)?,der,die,das,A
What is the correct article for the word 'Brot' (bread)?,der,die,das,C
"Es scheint ein technisches Problem ___ geben, das wir beheben müssen.",aus,nach,zu,C
