Question,Option A,Option B,Option C,Correct Answer
"Ein ____  Lebensstil bedeutet für mich, dass ich ausgewogen esse und ausreichend schlafe.",gesunden,gesundes,gesunder,C
What is the correct article for the word 'Seife' (soap)?,der,die,das,B
"Sie ___ zuerst versuchen, das Problem direkt mit dem Kunden zu besprechen.",sollen,sollten,würden,B
"Was würden Sie ___ empfehlen, um die Situation zu entschärfen?",mir,ihm,uns,A
"Ich versuche, weniger Zucker zu essen, weil ich merke, ___ ich mich dadurch fitter fühle.",um,dass,und,B
Was hast du am Wochenende vor? Ich freue ___schon auf ein bisschen Entspannung.,mir,uns,mich,C
"Normalerweise esse ich zweimal täglich warm, weil ich das ___ gesünder halte.",für,,,A
"Wenn ich gestresst bin, esse ich oft Süßigkeiten, ___ ich aber gerne ändern würde.",warum,was,wie,B
"Viele meinen, dass Sport allein reicht, aber ich denke, auch Ernährung spielt ___ große Rolle.",eine,einem,einen,A
Oft ist ___ Kompromiss die beste Lösung für alle Beteiligten.,ein,einen,eine,A
